lemma,first_singular,second_singular,third_singular,first_plural,second_plural,third_plural,provenance
prevariti,prevarim,prevariš,prevari,prevarimo,prevarite,prevare,wiktionary
otvarati,otvaram,otvaraš,otvara,otvaramo,otvarate,otvaraju,wiktionary
kontrolirati,kontroliram,kontroliraš,kontrolira,kontroliramo,kontrolirate,kontroliraju,manual
otpustiti,otpustim,otpustiš,otpusti,otpustimo,otpustite,otpuste,wiktionary
zaraditi,zaradim,zaradiš,zaradi,zaradimo,zaradite,zarade,wiktionary
vjenčati,vjenčam,vjenčaš,vjenča,vjenčamo,vjenčate,vjenčaju,wiktionary
izdržati,izdržim,izdržiš,izdrži,izdržimo,izdržite,izdrže,wiktionary
varati,varam,varaš,vara,varamo,varate,varaju,wiktionary
letiti,letim,letiš,leti,letimo,letite,lete,manual
predlagati,predlažem,predlažeš,predlaže,predlažemo,predlažete,predlažu,wiktionary
složiti,složim,složiš,složi,složimo,složite,slože,wiktionary
valjati,valjam,valjaš,valja,valjamo,valjate,valjaju,wiktionary
ležati,ležim,ležiš,leži,ležimo,ležite,leže,wiktionary
osvojiti,osvojim,osvojiš,osvoji,osvojimo,osvojite,osvoje,wiktionary
koštati,koštam,koštaš,košta,koštamo,koštate,koštaju,wiktionary
glumiti,glumim,glumiš,glumi,glumimo,glumite,glume,wiktionary
riskirati,riskiram,riskiraš,riskira,riskiramo,riskirate,riskiraju,wiktionary
naručiti,naručim,naručiš,naruči,naručimo,naručite,naruče,wiktionary
gorjeti,gorim,goriš,gori,gorimo,gorite,gore,wiktionary
postići,postignem,postigneš,postigne,postignemo,postignete,postignu,wiktionary
potvrditi,potvrdim,potvrdiš,potvrdi,potvrdimo,potvrdite,potvrde,wiktionary
upozoriti,upozorim,upozoriš,upozori,upozorimo,upozorite,upozore,wiktionary
ponavljati,ponavljam,ponavljaš,ponavlja,ponavljamo,ponavljate,ponavljaju,wiktionary
skočiti,skočim,skočiš,skoči,skočimo,skočite,skoče,wiktionary
kupovati,kupujem,kupuješ,kupuje,kupujemo,kupujete,kupuju,wiktionary
prevesti,prevedem,prevedeš,prevede,prevedemo,prevedete,prevedu,wiktionary
razbiti,razbijem,razbiješ,razbije,razbijemo,razbijete,razbiju,wiktionary
izvaditi,izvadim,izvadiš,izvadi,izvadimo,izvadite,izvade,wiktionary
odmoriti,odmorim,odmoriš,odmori,odmorimo,odmorite,odmore,wiktionary
snimiti,snimim,snimiš,snimi,snimimo,snimite,snime,wiktionary
ponijeti,ponesem,poneseš,ponese,ponesemo,ponesete,ponesu,wiktionary
pretvarati,pretvaram,pretvaraš,pretvara,pretvaramo,pretvarate,pretvaraju,wiktionary
pregledati,pregledam,pregledaš,pregleda,pregledamo,pregledate,pregledaju,manual
spriječiti,spriječim,spriječiš,spriječi,spriječimo,spriječite,spriječe,wiktionary
istraživati,istražujem,istražuješ,istražuje,istražujemo,istražujete,istražuju,wiktionary
curiti,curim,curiš,curi,curimo,curite,cure,wiktionary
upaliti,upalim,upališ,upali,upalimo,upalite,upale,wiktionary
ubaciti,ubacim,ubaciš,ubaci,ubacimo,ubacite,ubace,wiktionary
podići,podignem,podigneš,podigne,podignemo,podignete,podignu,wiktionary
obratiti,obratim,obratiš,obrati,obratimo,obratite,obrate,wiktionary
letjeti,letim,letiš,leti,letimo,letite,lete,wiktionary
odrastati,odrastam,odrastaš,odrasta,odrastamo,odrastate,odrastaju,wiktionary
zamijeniti,zamijenim,zamijeniš,zamijeni,zamijenimo,zamijenite,zamijene,wiktionary
osećati,osećam,osećaš,oseća,osećamo,osećate,osećaju,wiktionary
zaspati,zaspim,zaspiš,zaspi,zaspimo,zaspite,zaspe,wiktionary
dizati,dižem,dižeš,diže,dižemo,dižete,dižu,wiktionary
priuštiti,priuštim,priuštiš,priušti,priuštimo,priuštite,priušte,wiktionary
usporiti,usporim,usporiš,uspori,usporimo,usporite,uspore,wiktionary
povjerovati,povjerujem,povjeruješ,povjeruje,povjerujemo,povjerujete,povjeruju,wiktionary
nazivati,nazivam,nazivaš,naziva,nazivamo,nazivate,nazivaju,wiktionary
podignuti,podignem,podigneš,podigne,podignemo,podignete,podignu,manual
održati,održim,održiš,održi,održimo,održite,održe,wiktionary
odrasti,odrastem,odrasteš,odraste,odrastemo,odrastete,odrastu,wiktionary
vikati,vičem,vičeš,viče,vičemo,vičete,viču,wiktionary
upotrijebiti,upotrijebim,upotrijebiš,upotrijebi,upotrijebimo,upotrijebite,upotrijebe,wiktionary
odjebati,odjebem,odjebeš,odjebe,odjebemo,odjebete,odjebu,wiktionary
udarati,udaram,udaraš,udara,udaramo,udarate,udaraju,wiktionary
zapaliti,zapalim,zapališ,zapali,zapalimo,zapalite,zapale,wiktionary
nastavljati,nastavljam,nastavljaš,nastavlja,nastavljamo,nastavljate,nastavljaju,wiktionary
srušiti,srušim,srušiš,sruši,srušimo,srušite,sruše,wiktionary
posuditi,posudim,posudiš,posudi,posudimo,posudite,posude,wiktionary
ugasiti,ugasim,ugasiš,ugasi,ugasimo,ugasite,ugase,wiktionary
potražiti,potražim,potražiš,potraži,potražimo,potražite,potraže,wiktionary
razumati,razumijem,razumiješ,razumije,razumijemo,razumijete,razumiju,manual
izgraditi,izgradim,izgradiš,izgradi,izgradimo,izgradite,izgrade,wiktionary
smjestiti,smjestim,smjestiš,smjesti,smjestimo,smjestite,smjeste,wiktionary
tući,tučem,tučeš,tuče,tučemo,tučete,tuku,wiktionary
objašnjavati,objašnjavam,objašnjavaš,objašnjava,objašnjavamo,objašnjavate,objašnjavaju,wiktionary
prepoznavati,prepoznajem,prepoznaješ,prepoznaje,prepoznajemo,prepoznajete,prepoznaju,wiktionary
zezati,zezam,zezaš,zeza,zezamo,zezate,zezaju,manual
patiti,patim,patiš,pati,patimo,patite,pate,wiktionary
pretpostaviti,pretpostavim,pretpostaviš,pretpostavi,pretpostavimo,pretpostavite,pretpostave,wiktionary
pomaknuti,pomaknem,pomakneš,pomakne,pomaknemo,pomaknete,pomaknu,wiktionary
stvarati,stvaram,stvaraš,stvara,stvaramo,stvarate,stvaraju,wiktionary
smrdjeti,smrdim,smrdiš,smrdi,smrdimo,smrdite,smrde,wiktionary
zavezati,zavežem,zavežeš,zaveže,zavežemo,zavežete,zavežu,wiktionary
odnijeti,odnesem,odneseš,odnese,odnesemo,odnesete,odnesu,wiktionary
mozesti,mogu,možeš,može,možemo,možete,mogu,manual
zaposliti,zaposlim,zaposliš,zaposli,zaposlimo,zaposlite,zaposle,wiktionary
pokvariti,pokvarim,pokvariš,pokvari,pokvarimo,pokvarite,pokvare,wiktionary
preseliti,preselim,preseliš,preseli,preselimo,preselite,presele,wiktionary
prijetiti,prijetim,prijetiš,prijeti,prijetimo,prijetite,prijete,wiktionary
hraniti,hranim,hraniš,hrani,hranimo,hranite,hrane,wiktionary
braniti,branim,braniš,brani,branimo,branite,brane,wiktionary
pomociti,pomognem,pomogneš,pomogne,pomognemo,pomognete,pomognu,manual
očistiti,očistim,očistiš,očisti,očistimo,očistite,očiste,wiktionary
eksplodirati,eksplodiram,eksplodiraš,eksplodira,eksplodiramo,eksplodirate,eksplodiraju,wiktionary
objaviti,objavim,objaviš,objavi,objavimo,objavite,objave,wiktionary
slaviti,slavim,slaviš,slavi,slavimo,slavite,slave,wiktionary
poželjeti,poželim,poželiš,poželi,poželimo,poželite,požele,wiktionary
nuditi,nudim,nudiš,nudi,nudimo,nudite,nude,wiktionary
zabaviti,zabavim,zabaviš,zabavi,zabavimo,zabavite,zabave,wiktionary
zabavljati,zabavljam,zabavljaš,zabavlja,zabavljamo,zabavljate,zabavljaju,wiktionary
leći,ležem,ležeš,leže,ležemo,ležete,legu,wiktionary
obući,obučem,obučeš,obuče,obučemo,obučete,obuku,wiktionary
zgrabiti,zgrabim,zgrabiš,zgrabi,zgrabimo,zgrabite,zgrabe,wiktionary
odbijati,odbijam,odbijaš,odbija,odbijamo,odbijate,odbijaju,wiktionary
priznavati,priznajem,priznaješ,priznaje,priznajemo,priznajete,priznaju,wiktionary
završavati,završavam,završavaš,završava,završavamo,završavate,završavaju,wiktionary
videti,vidim,vidiš,vidi,vidimo,vidite,vide,wiktionary
zakasniti,zakasnim,zakasniš,zakasni,zakasnimo,zakasnite,zakasne,wiktionary
skrenuti,skrenem,skreneš,skrene,skrenemo,skrenete,skrenu,wiktionary
prići,priđem,priđeš,priđe,priđemo,priđete,priđu,wiktionary
predstaviti,predstavim,predstaviš,predstavi,predstavimo,predstavite,predstave,wiktionary
obećajati,obećavam,obećavaš,obećava,obećavamo,obećavate,obećavaju,manual
utjecati,utječem,utječeš,utječe,utječemo,utječete,utječu,wiktionary
krasti,kradem,kradeš,krade,krademo,kradete,kradu,wiktionary
poželiti,poželim,poželiš,poželi,poželimo,poželite,požele,manual
dovoditi,dovodim,dovodiš,dovodi,dovodimo,dovodite,dovode,wiktionary
porazgovarati,porazgovaram,porazgovaraš,porazgovara,porazgovaramo,porazgovarate,porazgovaraju,manual
pružiti,pružim,pružiš,pruži,pružimo,pružite,pruže,wiktionary
ljutiti,ljutim,ljutiš,ljuti,ljutimo,ljutite,ljute,wiktionary
shvatati,shvatam,shvataš,shvata,shvatamo,shvatate,shvataju,wiktionary
izazvati,izazovem,izazoveš,izazove,izazovemo,izazovete,izazovu,wiktionary
cuti,čujem,čuješ,čuje,čujemo,čujete,čuju,manual
kriti,krijem,kriješ,krije,krijemo,krijete,kriju,wiktionary
gaditi,gadim,gadiš,gadi,gadimo,gadite,gade,wiktionary
upravljati,upravljam,upravljaš,upravlja,upravljamo,upravljate,upravljaju,wiktionary
javljati,javljam,javljaš,javlja,javljamo,javljate,javljaju,wiktionary
smijati,smijem,smiješ,smije,smijemo,smijete,smiju,wiktionary
puštati,puštam,puštaš,pušta,puštamo,puštate,puštaju,wiktionary
stavljati,stavljam,stavljaš,stavlja,stavljamo,stavljate,stavljaju,wiktionary
griješiti,griješim,griješiš,griješi,griješimo,griješite,griješe,wiktionary
neznati,znam,znaš,zna,znamo,znate,znaju,manual
loviti,lovim,loviš,lovi,lovimo,lovite,love,wiktionary
provoditi,provodim,provodiš,provodi,provodimo,provodite,provode,wiktionary
faliti,falim,fališ,fali,falimo,falite,fale,wiktionary
računati,računam,računaš,računa,računamo,računate,računaju,wiktionary
mislisti,mislim,misliš,misli,mislimo,mislite,misle,manual
odmaknuti,odmaknem,odmakneš,odmakne,odmaknemo,odmaknete,odmaknu,wiktionary
oduzeti,oduzmem,oduzmeš,oduzme,oduzmemo,oduzmete,oduzmu,wiktionary
podijeliti,podijelim,podijeliš,podijeli,podijelimo,podijelite,podijele,wiktionary
blagosloviti,blagoslovim,blagosloviš,blagoslovi,blagoslovimo,blagoslovite,blagoslove,wiktionary
funkcionirati,funkcioniram,funkcioniraš,funkcionira,funkcioniramo,funkcionirate,funkcioniraju,wiktionary
prihvaćati,prihvaćam,prihvaćaš,prihvaća,prihvaćamo,prihvaćate,prihvaćaju,wiktionary
sići,siđem,siđeš,siđe,siđemo,siđete,siđu,wiktionary
kuhati,kuham,kuhaš,kuha,kuhamo,kuhate,kuhaju,wiktionary
snimati,snimam,snimaš,snima,snimamo,snimate,snimaju,wiktionary
potrošiti,potrošim,potrošiš,potroši,potrošimo,potrošite,potroše,wiktionary
nauditi,naudim,naudiš,naudi,naudimo,naudite,naude,wiktionary
odbaciti,odbacim,odbaciš,odbaci,odbacimo,odbacite,odbace,wiktionary
podsjećati,podsjećam,podsjećaš,podsjeća,podsjećamo,podsjećate,podsjećaju,wiktionary
potrajati,potrajem,potraješ,potraje,potrajemo,potrajete,potraju,wiktionary
spremati,spremam,spremaš,sprema,spremamo,spremate,spremaju,wiktionary
Doci,dođem,dođeš,dođe,dođemo,dođete,dođu,manual
opisati,opišem,opišeš,opiše,opišemo,opišete,opišu,wiktionary
mirisati,mirišem,mirišeš,miriše,mirišemo,mirišete,mirišu,wiktionary
zaljubiti,zaljubim,zaljubiš,zaljubi,zaljubimo,zaljubite,zaljube,wiktionary
birati,biram,biraš,bira,biramo,birate,biraju,wiktionary
provaliti,provalim,provališ,provali,provalimo,provalite,provale,wiktionary
miješati,miješam,miješaš,miješa,miješamo,miješate,miješaju,wiktionary
ukazivati,ukazujem,ukazuješ,ukazuje,ukazujemo,ukazujete,ukazuju,wiktionary
čistiti,čistim,čistiš,čisti,čistimo,čistite,čiste,wiktionary
nagovoriti,nagovorim,nagovoriš,nagovori,nagovorimo,nagovorite,nagovore,wiktionary
podsjetiti,podsjetim,podsjetiš,podsjeti,podsjetimo,podsjetite,podsjete,wiktionary
svađati,svađam,svađaš,svađa,svađamo,svađate,svađaju,wiktionary
ličiti,ličim,ličiš,liči,ličimo,ličite,liče,wiktionary
silovati,silujem,siluješ,siluje,silujemo,silujete,siluju,wiktionary
upropastiti,upropastim,upropastiš,upropasti,upropastimo,upropastite,upropaste,wiktionary
predložiti,predložim,predložiš,predloži,predložimo,predložite,predlože,wiktionary
predavati,predajem,predaješ,predaje,predajemo,predajete,predaju,wiktionary
poduzeti,poduzmem,poduzmeš,poduzme,poduzmemo,poduzmete,poduzmu,wiktionary
uloviti,ulovim,uloviš,ulovi,ulovimo,ulovite,ulove,wiktionary
poslužiti,poslužim,poslužiš,posluži,poslužimo,poslužite,posluže,wiktionary
gurnuti,gurnem,gurneš,gurne,gurnemo,gurnete,gurnu,wiktionary
suočiti,suočim,suočiš,suoči,suočimo,suočite,suoče,wiktionary
zaglaviti,zaglavim,zaglaviš,zaglavi,zaglavimo,zaglavite,zaglave,wiktionary
prebaciti,prebacim,prebaciš,prebaci,prebacimo,prebacite,prebace,wiktionary
kriviti,krivim,kriviš,krivi,krivimo,krivite,krive,wiktionary
bacati,bacam,bacaš,baca,bacamo,bacate,bacaju,wiktionary
prilagoditi,prilagodim,prilagodiš,prilagodi,prilagodimo,prilagodite,prilagode,wiktionary
propasti,"propadnem, propanem","propadneš, propaneš","propadne, propane","propadnemo, propanemo","propadnete, propanete","propadnu, propanu",wiktionary
sačuvati,sačuvam,sačuvaš,sačuva,sačuvamo,sačuvate,sačuvaju,wiktionary
narediti,naredim,narediš,naredi,naredimo,naredite,narede,manual
otkazati,otkažem,otkažeš,otkaže,otkažemo,otkažete,otkažu,wiktionary
napuniti,napunim,napuniš,napuni,napunimo,napunite,napune,wiktionary
primati,primam,primaš,prima,primamo,primate,primaju,wiktionary
ustajati,ustajem,ustaješ,ustaje,ustajemo,ustajete,ustaju,wiktionary
uvjeravati,uvjeravam,uvjeravaš,uvjerava,uvjeravamo,uvjeravate,uvjeravaju,wiktionary
spaliti,spalim,spališ,spali,spalimo,spalite,spale,wiktionary
svratiti,svratim,svratiš,svrati,svratimo,svratite,svrate,wiktionary
iznevjeriti,iznevjerim,iznevjeriš,iznevjeri,iznevjerimo,iznevjerite,iznevjere,wiktionary
dopadati,dopadam,dopadaš,dopada,dopadamo,dopadate,dopadaju,wiktionary
postavljati,postavljam,postavljaš,postavlja,postavljamo,postavljate,postavljaju,wiktionary
doživjeti,doživim,doživiš,doživi,doživimo,doživite,dožive,wiktionary
zajebavati,zajebavam,zajebavaš,zajebava,zajebavamo,zajebavate,zajebavaju,wiktionary
sličiti,sličim,sličiš,sliči,sličimo,sličite,sliče,wiktionary
zvoniti,zvonim,zvoniš,zvoni,zvonimo,zvonite,zvone,manual
odrediti,odredim,odrediš,odredi,odredimo,odredite,odrede,wiktionary
pristajati,pristajem,pristaješ,pristaje,pristajemo,pristajete,pristaju,wiktionary
gnjaviti,gnjavim,gnjaviš,gnjavi,gnjavimo,gnjavite,gnjave,wiktionary
zbivati,zbivam,zbivaš,zbiva,zbivamo,zbivate,zbivaju,wiktionary
gurati,guram,guraš,gura,guramo,gurate,guraju,wiktionary
čuditi,čudim,čudiš,čudi,čudimo,čudite,čude,wiktionary
odraditi,odradim,odradiš,odradi,odradimo,odradite,odrade,wiktionary
reagirati,reagiram,reagiraš,reagira,reagiramo,reagirate,reagiraju,wiktionary
saslušati,saslušam,saslušaš,sasluša,saslušamo,saslušate,saslušaju,manual
kazniti,kaznim,kazniš,kazni,kaznimo,kaznite,kazne,wiktionary
navići,naviknem,navikneš,navikne,naviknemo,naviknete,naviknu,manual
zajebati,zajebem,zajebeš,zajebe,zajebemo,zajebete,zajebu,wiktionary
ispadati,ispadam,ispadaš,ispada,ispadamo,ispadate,ispadaju,wiktionary
unajmiti,unajmim,unajmiš,unajmi,unajmimo,unajmite,unajme,wiktionary
preklinjati,preklinjam,preklinjaš,preklinja,preklinjamo,preklinjate,preklinjaju,manual
proslaviti,proslavim,proslaviš,proslavi,proslavimo,proslavite,proslave,wiktionary
nasmijati,nasmijem,nasmiješ,nasmije,nasmijemo,nasmijete,nasmiju,wiktionary
predomisliti,predomislim,predomisliš,predomisli,predomislimo,predomislite,predomisle,wiktionary
prepustiti,prepustim,prepustiš,prepusti,prepustimo,prepustite,prepuste,wiktionary
izbjeći,izbjegnem,izbjegneš,izbjegne,izbjegnemo,izbjegnete,izbjegnu,wiktionary
izvoditi,izvodim,izvodiš,izvodi,izvodimo,izvodite,izvode,wiktionary
ušutjeti,ušutim,ušutiš,ušuti,ušutimo,ušutite,ušute,manual
dobijati,dobijam,dobijaš,dobija,dobijamo,dobijate,dobijaju,wiktionary
zavisiti,zavisim,zavisiš,zavisi,zavisimo,zavisite,zavise,wiktionary
osigurati,osiguram,osiguraš,osigura,osiguramo,osigurate,osiguraju,wiktionary
trošiti,trošim,trošiš,troši,trošimo,trošite,troše,wiktionary
mozeti,mogu,možeš,može,možemo,možete,mogu,manual
opustjeti,opustim,opustiš,opusti,opustimo,opustite,opuste,manual
napredovati,napredujem,napreduješ,napreduje,napredujemo,napredujete,napreduju,wiktionary
ispuniti,ispunim,ispuniš,ispuni,ispunimo,ispunite,ispune,wiktionary
prekidati,prekidam,prekidaš,prekida,prekidamo,prekidate,prekidaju,wiktionary
otici,odem,odeš,ode,odemo,odete,odu,manual
usuđivati,usuđujem,usuđuješ,usuđuje,usuđujemo,usuđujete,usuđuju,wiktionary
vrtjeti,vrtim,vrtiš,vrti,vrtimo,vrtite,vrte,wiktionary
seći,sečem,sečeš,seče,sečemo,sečete,seku,wiktionary
zahtijevati,zahtijevam,zahtijevaš,zahtijeva,zahtijevamo,zahtijevate,zahtijevaju,wiktionary
približiti,približim,približiš,približi,približimo,približite,približe,wiktionary
skidati,skidam,skidaš,skida,skidamo,skidate,skidaju,wiktionary
izmisliti,izmislim,izmisliš,izmisli,izmislimo,izmislite,izmisle,wiktionary
popeti,popnem,popneš,popne,popnemo,popnete,popnu,wiktionary
sediti,sjedim,sjediš,sjedi,sjedimo,sjedite,sjede,manual
oprati,operem,opereš,opere,operemo,operete,operu,wiktionary
dokazivati,dokazujem,dokazuješ,dokazuje,dokazujemo,dokazujete,dokazuju,wiktionary
tjerati,tjeram,tjeraš,tjera,tjeramo,tjerate,tjeraju,wiktionary
povlačiti,povlačim,povlačiš,povlači,povlačimo,povlačite,povlače,wiktionary
snaći,snađem,snađeš,snađe,snađemo,snađete,snađu,wiktionary
posjedovati,posjedujem,posjeduješ,posjeduje,posjedujemo,posjedujete,posjeduju,wiktionary
vezati,vežem,vežeš,veže,vežemo,vežete,vežu,wiktionary
uzdisati,uzdišem,uzdišeš,uzdiše,uzdišemo,uzdišete,uzdišu,wiktionary
počiniti,počinim,počiniš,počini,počinimo,počinite,počine,wiktionary
ispitati,ispitam,ispitaš,ispita,ispitamo,ispitate,ispitaju,wiktionary
sećati,sećam,sećaš,seća,sećamo,sećate,sećaju,wiktionary
radisti,radim,radiš,radi,radimo,radite,rade,manual
zabiti,zabijem,zabiješ,zabije,zabijemo,zabijete,zabiju,wiktionary
opljačkati,opljačkam,opljačkaš,opljačka,opljačkamo,opljačkate,opljačkaju,wiktionary
pretražiti,pretražim,pretražiš,pretraži,pretražimo,pretražite,pretraže,wiktionary
približavati,približavam,približavaš,približava,približavamo,približavate,približavaju,wiktionary
liječiti,liječim,liječiš,liječi,liječimo,liječite,liječe,wiktionary
dići,dignem,digneš,digne,dignemo,dignete,dignu,wiktionary
preuzimati,preuzimam,preuzimaš,preuzima,preuzimamo,preuzimate,preuzimaju,wiktionary
voleti,volim,voliš,voli,volimo,volite,vole,wiktionary
ljubiti,ljubim,ljubiš,ljubi,ljubimo,ljubite,ljube,wiktionary
smanjiti,smanjim,smanjiš,smanji,smanjimo,smanjite,smanje,wiktionary
svjedočiti,svjedočim,svjedočiš,svjedoči,svjedočimo,svjedočite,svjedoče,wiktionary
promatrati,promatram,promatraš,promatra,promatramo,promatrate,promatraju,wiktionary
ispraviti,ispravim,ispraviš,ispravi,ispravimo,ispravite,isprave,wiktionary
premjestiti,premjestim,premjestiš,premjesti,premjestimo,premjestite,premjeste,manual
objesiti,objesim,objesiš,objesi,objesimo,objesite,objese,wiktionary
ponositi,ponosim,ponosiš,ponosi,ponosimo,ponosite,ponose,wiktionary
uvrijediti,uvrijedim,uvrijediš,uvrijedi,uvrijedimo,uvrijedite,uvrijede,wiktionary
sadržati,sadržim,sadržiš,sadrži,sadržimo,sadržite,sadrže,wiktionary
usuditi,usudim,usudiš,usudi,usudimo,usudite,usude,wiktionary
istražiti,istražim,istražiš,istraži,istražimo,istražite,istraže,wiktionary
ispostaviti,ispostavim,ispostaviš,ispostavi,ispostavimo,ispostavite,ispostave,wiktionary
pripaziti,pripazim,pripaziš,pripazi,pripazimo,pripazite,pripaze,wiktionary
plivati,plivam,plivaš,pliva,plivamo,plivate,plivaju,wiktionary
vježbati,vježbam,vježbaš,vježba,vježbamo,vježbate,vježbaju,wiktionary
upozoravati,upozoravam,upozoravaš,upozorava,upozoravamo,upozoravate,upozoravaju,wiktionary
krvariti,krvarim,krvariš,krvari,krvarimo,krvarite,krvare,wiktionary
silaziti,silazim,silaziš,silazi,silazimo,silazite,silaze,wiktionary
ukloniti,uklonim,ukloniš,ukloni,uklonimo,uklonite,uklone,wiktionary
tužiti,tužim,tužiš,tuži,tužimo,tužite,tuže,wiktionary
spojiti,spojim,spojiš,spoji,spojimo,spojite,spoje,wiktionary
identificirati,identificiram,identificiraš,identificira,identificiramo,identificirate,identificiraju,wiktionary
lediti,ledim,lediš,ledi,ledimo,ledite,lede,wiktionary
sereti,serem,sereš,sere,seremo,serete,seru,manual
isplatiti,isplatim,isplatiš,isplati,isplatimo,isplatite,isplate,wiktionary
odustajati,odustajem,odustaješ,odustaje,odustajemo,odustajete,odustaju,wiktionary
prilaziti,prilazim,prilaziš,prilazi,prilazimo,prilazite,prilaze,wiktionary
pobiti,pobijem,pobiješ,pobije,pobijemo,pobijete,pobiju,wiktionary
odnesti,odnesem,odneseš,odnese,odnesemo,odnesete,odnesu,manual
surađivati,surađujem,surađuješ,surađuje,surađujemo,surađujete,surađuju,wiktionary
žuriti,žurim,žuriš,žuri,žurimo,žurite,žure,wiktionary
doznati,doznam,doznaš,dozna,doznamo,doznate,doznaju,wiktionary
izvinjavati,izvinjavam,izvinjavaš,izvinjava,izvinjavamo,izvinjavate,izvinjavaju,manual
kontaktirati,kontaktiram,kontaktiraš,kontaktira,kontaktiramo,kontaktirate,kontaktiraju,wiktionary
ostvariti,ostvarim,ostvariš,ostvari,ostvarimo,ostvarite,ostvare,wiktionary
dočekati,dočekam,dočekaš,dočeka,dočekamo,dočekate,dočekaju,wiktionary
nemoći,mogu,možeš,može,možemo,možete,mogu,manual
dignuti,dignem,digneš,digne,dignemo,dignete,dignu,manual
zatvarati,zatvaram,zatvaraš,zatvara,zatvaramo,zatvarate,zatvaraju,wiktionary
pokriti,pokrijem,pokriješ,pokrije,pokrijemo,pokrijete,pokriju,wiktionary
provjeravati,provjeravam,provjeravaš,provjerava,provjeravamo,provjeravate,provjeravaju,wiktionary
obavijestiti,obavijestim,obavijestiš,obavijesti,obavijestimo,obavijestite,obavijeste,wiktionary
slikati,slikam,slikaš,slika,slikamo,slikate,slikaju,wiktionary
sudjelovati,sudjelujem,sudjeluješ,sudjeluje,sudjelujemo,sudjelujete,sudjeluju,wiktionary
zatrebati,zatrebam,zatrebaš,zatreba,zatrebamo,zatrebate,zatrebaju,manual
častiti,častim,častiš,časti,častimo,častite,časte,wiktionary
dopuštati,dopuštam,dopuštaš,dopušta,dopuštamo,dopuštate,dopuštaju,wiktionary
uspijevati,uspijevam,uspijevaš,uspijeva,uspijevamo,uspijevate,uspijevaju,wiktionary
izazivati,izazivljem,izazivlješ,izazivlje,izazivljemo,izazivljete,izazivlju,wiktionary
vrištati,vrištim,vrištiš,vrišti,vrištimo,vrištite,vrište,wiktionary
privlačiti,privlačim,privlačiš,privlači,privlačimo,privlačite,privlače,wiktionary
skloniti,sklonim,skloniš,skloni,sklonimo,sklonite,sklone,wiktionary
uništavati,uništavam,uništavaš,uništava,uništavamo,uništavate,uništavaju,wiktionary
nestajati,nestajem,nestaješ,nestaje,nestajemo,nestajete,nestaju,wiktionary
diviti,divim,diviš,divi,divimo,divite,dive,wiktionary
prošetati,prošećem,prošećeš,prošeće,prošećemo,prošećete,prošeću,wiktionary
raspravljati,raspravljam,raspravljaš,raspravlja,raspravljamo,raspravljate,raspravljaju,wiktionary
prestajati,prestajem,prestaješ,prestaje,prestajemo,prestajete,prestaju,wiktionary
uklapati,uklapam,uklapaš,uklapa,uklapamo,uklapate,uklapaju,manual
probiti,probijem,probiješ,probije,probijemo,probijete,probiju,wiktionary
jačati,jačam,jačaš,jača,jačamo,jačate,jačaju,wiktionary
kopati,kopam,kopaš,kopa,kopamo,kopate,kopaju,wiktionary
prenijeti,prenesem,preneseš,prenese,prenesemo,prenesete,prenesu,wiktionary
sastati,sastanem,sastaneš,sastane,sastanemo,sastanete,sastanu,wiktionary
napadati,napadam,napadaš,napada,napadamo,napadate,napadaju,wiktionary
okretati,okrećem,okrećeš,okreće,okrećemo,okrećete,okreću,wiktionary
pobjeđivati,pobjeđujem,pobjeđuješ,pobjeđuje,pobjeđujemo,pobjeđujete,pobjeđuju,wiktionary
vući,vučem,vučeš,vuče,vučemo,vučete,vuku,wiktionary
teći,tečem,tečeš,teče,tečemo,tečete,teku,wiktionary
odati,odam,odaš,oda,odamo,odate,odaju,wiktionary
osvetiti,osvetim,osvetiš,osveti,osvetimo,osvetite,osvete,wiktionary
održavati,održavam,održavaš,održava,održavamo,održavate,održavaju,wiktionary
osjecati,osjećam,osjećaš,osjeća,osjećamo,osjećate,osjećaju,manual
uspeti,uspem,uspeš,uspe,uspemo,uspete,uspeju,wiktionary
napuštati,napuštam,napuštaš,napušta,napuštamo,napuštate,napuštaju,wiktionary
zakleti,zakunem,zakuneš,zakune,zakunemo,zakunete,zakunu,wiktionary
smješkati,smješkam,smješkaš,smješka,smješkamo,smješkate,smješkaju,manual
prekršiti,prekršim,prekršiš,prekrši,prekršimo,prekršite,prekrše,wiktionary
izliječiti,izliječim,izliječiš,izliječi,izliječimo,izliječite,izliječe,wiktionary
kloniti,klonim,kloniš,kloni,klonimo,klonite,klone,wiktionary
piliti,pilim,piliš,pili,pilimo,pilite,pile,wiktionary
sklanjati,sklanjam,sklanjaš,sklanja,sklanjamo,sklanjate,sklanjaju,wiktionary
razočarati,razočaram,razočaraš,razočara,razočaramo,razočarate,razočaraju,wiktionary
nastupati,nastupam,nastupaš,nastupa,nastupamo,nastupate,nastupaju,wiktionary
isteći,istečem,istečeš,isteče,istečemo,istečete,isteku,manual
povezivati,povezujem,povezuješ,povezuje,povezujemo,povezujete,povezuju,wiktionary
otpadati,otpadam,otpadaš,otpada,otpadamo,otpadate,otpadaju,wiktionary
posvađati,posvađam,posvađaš,posvađa,posvađamo,posvađate,posvađaju,manual
dogadati,događam,događaš,događa,događamo,događate,događaju,manual
izluđivati,izluđujem,izluđuješ,izluđuje,izluđujemo,izluđujete,izluđuju,manual
