lemma,first_singular,second_singular,third_singular,first_plural,second_plural,third_plural,provenance
jelentkezz,jelentkezem,jelentkezel,jelentkezik,jelentkezünk,jelentkeztek,jelentkeznek,manual
befejez,befejezek,befejezel,befejez,befejezünk,befejeztek,befejeznek,wiktionary
abbahagy,abbahagyok,abbahagysz,abbahagy,abbahagyunk,abbahagytok,abbahagynak,wiktionary
tör,török,törsz,tör,törünk,törtök,törnek,wiktionary
koncentrál,koncentrálok,koncentrálsz,koncentrál,koncentrálunk,koncentráltok,koncentrálnak,wiktionary
fest,festek,festesz,fest,festünk,festetek,festenek,wiktionary
lelép,lelépek,lelépsz,lelép,lelépünk,leléptek,lelépnek,manual
tervez,tervezek,tervezel,tervez,tervezünk,terveztek,terveznek,wiktionary
visszahív,visszahívok,visszahívsz,visszahív,visszahívunk,visszahívtok,visszahívnak,manual
old,oldok,oldasz,old,oldunk,oldotok,oldanak,wiktionary
vásárol,vásárlok,vásárolsz,vásárol,vásárlunk,vásároltok,vásárolnak,wiktionary
elfogy,elfogyok,elfogysz,elfogy,elfogyunk,elfogytok,elfogynak,wiktionary
elveszít,elveszítek,elveszítesz,elveszít,elveszítünk,elveszítetek,elveszítenek,wiktionary
igyekszik,igyekszem,igyekszel,igyekszik,igyekszünk,igyekszetek,igyekszenek,wiktionary
bízol,bízom,bízol,bízik,bízunk,bíztok,bíznak,manual
üt,ütök,ütsz,üt,ütünk,üttök,ütnek,wiktionary
megenged,megengedek,megengedsz,megenged,megengedünk,megengedtek,megengednek,wiktionary
tetsz,tetszek,tetszel,tetszik,tetszünk,tetszetek,tetszenek,manual
hagysz,hagyok,hagysz,hagy,hagyunk,hagytok,hagynak,manual
intéz,intézek,intézel,intéz,intézünk,intéztek,intéznek,wiktionary
szenved,szenvedek,szenvedsz,szenved,szenvedünk,szenvedtek,szenvednek,wiktionary
lelő,lelövök,lelősz,lelő,lelövünk,lelőtök,lelőnek,wiktionary
szerepel,szereplek,szerepelsz,szerepel,szereplünk,szerepeltek,szerepelnek,wiktionary
engedhet,engedhetek,engedhetsz,engedhet,engedhetünk,engedhettek,engedhetnek,manual
magyaráz,magyarázok,magyarázol,magyaráz,magyarázunk,magyaráztok,magyaráznak,wiktionary
ver,verek,versz,ver,verünk,vertek,vernek,wiktionary
rak,rakok,raksz,rak,rakunk,raktok,raknak,wiktionary
lassíts,lassítok,lassítasz,lassít,lassítunk,lassítotok,lassítanak,manual
vérzik,vérzek,vérzel,vérzik,vérzünk,véreztek,véreznek,wiktionary
leesik,leesem,leesel,leesik,leesünk,leestek,leesnek,wiktionary
köt,kötök,kötsz,köt,kötünk,köttök,kötnek,wiktionary
megtanul,megtanulok,megtanulsz,megtanul,megtanulunk,megtanultok,megtanulnak,wiktionary
bújj,bújok,bújsz,bújik,bújunk,bújtok,bújnak,manual
eressz,eresztek,eresztesz,ereszt,eresztünk,eresztetek,eresztenek,manual
fér,férek,férsz,fér,férünk,fértek,férnek,wiktionary
kitalál,kitalálok,kitalálsz,kitalál,kitalálunk,kitaláltok,kitalálnak,wiktionary
segítset,segítek,segítesz,segít,segítünk,segítetek,segítenek,manual
elkezdődik,elkezdődöm,elkezdődsz,elkezdődik,elkezdődünk,elkezdődtök,elkezdődnek,wiktionary
megköszön,megköszönök,megköszönsz,megköszön,megköszönünk,megköszöntök,megköszönnek,wiktionary
biztosíthat,biztosíthatok,biztosíthatsz,biztosíthat,biztosíthatunk,biztosíthattok,biztosíthatnak,manual
élvez,élvezek,élvezel,élvez,élvezünk,élveztek,élveznek,wiktionary
jelentkezik,jelentkezem,jelentkezel,jelentkezik,jelentkezünk,jelentkeztek,jelentkeznek,wiktionary
fúj,fújok,fújsz,fúj,fújunk,fújtok,fújnak,wiktionary
veszik,veszek,veszel,veszik,veszünk,vesztek,vesznek,wiktionary
visszajöt,visszajövök,visszajössz,visszajön,visszajövünk,visszajöttök,visszajönnek,manual
vigyázzat,vigyázok,vigyázol,vigyáz,vigyázunk,vigyáztok,vigyáznak,manual
visel,viselek,viselsz,visel,viselünk,viseltek,viselnek,wiktionary
átad,átadok,átadsz,átad,átadunk,átadtok,átadnak,wiktionary
lefekszik,lefekszem,lefekszel,lefekszik,lefekszünk,lefekszetek,lefekszenek,wiktionary
meglehet,meglehetek,meglehetsz,meglehet,meglehetünk,meglehettek,meglehetnek,manual
hozol,hozok,hozol,hoz,hozunk,hoztok,hoznak,manual
tanít,tanítok,tanítasz,tanít,tanítunk,tanítotok,tanítanak,wiktionary
késik,késem,késel,késik,késünk,késtek,késnek,wiktionary
leszar,leszarok,leszarsz,leszar,leszarunk,leszartok,leszarnak,manual
hívo,hívok,hívsz,hív,hívunk,hívtok,hívnak,manual
várhat,várhatok,várhatsz,várhat,várhatunk,várhattok,várhatnak,manual
nevez,nevezek,nevezel,nevez,nevezünk,neveztek,neveznek,wiktionary
vet,vetek,vetsz,vet,vetünk,vettek,vetnek,wiktionary
ellenőriz,ellenőrzök,ellenőrzöl,ellenőriz,ellenőrzünk,ellenőriztek,ellenőriznek,wiktionary
csatlakozik,csatlakozom,csatlakozol,csatlakozik,csatlakozunk,csatlakoztok,csatlakoznak,wiktionary
utazik,utazom,utazol,utazik,utazunk,utaztok,utaznak,wiktionary
szolgál,szolgálok,szolgálsz,szolgál,szolgálunk,szolgáltok,szolgálnak,wiktionary
bíz,bízok,bízol,bíz,bízunk,bíztok,bíznak,wiktionary
gondoskodik,gondoskodom,gondoskodsz,gondoskodik,gondoskodunk,gondoskodtok,gondoskodnak,wiktionary
vállal,vállalok,vállalsz,vállal,vállalunk,vállaltok,vállalnak,wiktionary
lop,lopok,lopsz,lop,lopunk,loptok,lopnak,wiktionary
épít,építek,építesz,épít,építünk,építetek,építenek,wiktionary
lóg,lógok,lógsz,lóg,lógunk,lógtok,lógnak,wiktionary
felad,feladok,feladsz,felad,feladunk,feladtok,feladnak,wiktionary
elárul,elárulok,elárulsz,elárul,elárulunk,elárultok,elárulnak,wiktionary
megismer,megismerek,megismersz,megismer,megismerünk,megismertek,megismernek,wiktionary
megszerez,megszerzek,megszerzel,megszerez,megszerzünk,megszereztek,megszereznek,wiktionary
kijön,kijövök,kijössz,kijön,kijövünk,kijöttök,kijönnek,wiktionary
megváltoztat,megváltoztatok,megváltoztatsz,megváltoztat,megváltoztatunk,megváltoztattok,megváltoztatnak,wiktionary
küzd,küzdök,küzdesz,küzd,küzdünk,küzdötök,küzdenek,wiktionary
elküld,elküldök,elküldesz,elküld,elküldünk,elküldötök,elküldenek,wiktionary
veszít,veszítek,veszítesz,veszít,veszítünk,veszítetek,veszítenek,wiktionary
támogat,támogatok,támogatsz,támogat,támogatunk,támogattok,támogatnak,wiktionary
imádkozik,imádkozom,imádkozol,imádkozik,imádkozunk,imádkoztok,imádkoznak,wiktionary
odaad,odaadok,odaadsz,odaad,odaadunk,odaadtok,odaadnak,wiktionary
megtámad,megtámadok,megtámadsz,megtámad,megtámadunk,megtámadtok,megtámadnak,wiktionary
megbocsát,megbocsátok,megbocsátasz,megbocsát,megbocsátunk,megbocsátotok,megbocsátanak,wiktionary
rendel,rendelek,rendelsz,rendel,rendelünk,rendeltek,rendelnek,wiktionary
vall,vallok,vallasz,vall,vallunk,vallotok,vallanak,wiktionary
letartóztat,letartóztatok,letartóztatsz,letartóztat,letartóztatunk,letartóztattok,letartóztatnak,wiktionary
figyelmeztet,figyelmeztetek,figyelmeztetsz,figyelmeztet,figyelmeztetünk,figyelmeztettek,figyelmeztetnek,wiktionary
próbálkozik,próbálkozom,próbálkozol,próbálkozik,próbálkozunk,próbálkoztok,próbálkoznak,wiktionary
randizik,randizom,randizol,randizik,randizunk,randiztok,randiznak,wiktionary
távozik,távozom,távozol,távozik,távozunk,távoztok,távoznak,wiktionary
túlél,túlélek,túlélsz,túlél,túlélünk,túléltek,túlélnek,wiktionary
vágyik,vágyom,vágysz,vágyik,vágyunk,vágytok,vágynak,wiktionary
átmegy,átmegyek,átmész,átmegy,átmegyünk,átmentek,átmennek,wiktionary
rendez,rendezek,rendezel,rendez,rendezünk,rendeztek,rendeznek,wiktionary
menekül,menekülök,menekülsz,menekül,menekülünk,menekültök,menekülnek,wiktionary
költözik,költözöm,költözöl,költözik,költözünk,költöztök,költöznek,wiktionary
biztosít,biztosítok,biztosítasz,biztosít,biztosítunk,biztosítotok,biztosítanak,wiktionary
parancsol,parancsolok,parancsolsz,parancsol,parancsolunk,parancsoltok,parancsolnak,wiktionary
helyez,helyezek,helyezel,helyez,helyezünk,helyeztek,helyeznek,wiktionary
kirúg,kirúgok,kirúgsz,kirúg,kirúgunk,kirúgtok,kirúgnak,wiktionary
bámul,bámulok,bámulsz,bámul,bámulunk,bámultok,bámulnak,wiktionary
veszt,vesztek,vesztesz,veszt,vesztünk,vesztetek,vesztenek,wiktionary
átvesz,átveszek,átveszel,átvesz,átveszünk,átvesztek,átvesznek,wiktionary
rúg,rúgok,rúgsz,rúg,rúgunk,rúgtok,rúgnak,wiktionary
szakít,szakítok,szakítasz,szakít,szakítunk,szakítotok,szakítanak,wiktionary
hajt,hajtok,hajtasz,hajt,hajtunk,hajtotok,hajtanak,wiktionary
dug,dugok,dugsz,dug,dugunk,dugtok,dugnak,wiktionary
főz,főzök,főzöl,főz,főzünk,főztök,főznek,wiktionary
üdvözöl,üdvözlök,üdvözölsz,üdvözöl,üdvözlünk,üdvözöltök,üdvözölnek,wiktionary
meglátogat,meglátogatok,meglátogatsz,meglátogat,meglátogatunk,meglátogattok,meglátogatnak,wiktionary
pihen,pihenek,pihensz,pihen,pihenünk,pihentek,pihennek,wiktionary
megtart,megtartok,megtartasz,megtart,megtartunk,megtartotok,megtartanak,wiktionary
megvesz,megveszek,megveszel,megvesz,megveszünk,megvesztek,megvesznek,wiktionary
megérdemel,megérdemlek,megérdemelsz,megérdemel,megérdemlünk,megérdemeltek,megérdemelnek,wiktionary
kihagy,kihagyok,kihagysz,kihagy,kihagyunk,kihagytok,kihagynak,wiktionary
megmagyaráz,megmagyarázok,megmagyarázol,megmagyaráz,megmagyarázunk,megmagyaráztok,megmagyaráznak,wiktionary
bezár,bezárok,bezársz,bezár,bezárunk,bezártok,bezárnak,wiktionary
hord,hordok,hordasz,hord,hordunk,hordotok,hordanak,wiktionary
kiderít,kiderítek,kiderítesz,kiderít,kiderítünk,kiderítetek,kiderítenek,wiktionary
elrabol,elrablok,elrabolsz,elrabol,elrablunk,elraboltok,elrabolnak,wiktionary
meggondol,meggondolok,meggondolsz,meggondol,meggondolunk,meggondoltok,meggondolnak,wiktionary
felismer,felismerek,felismersz,felismer,felismerünk,felismertek,felismernek,wiktionary
számol,számolok,számolsz,számol,számolunk,számoltok,számolnak,wiktionary
ejt,ejtek,ejtesz,ejt,ejtünk,ejtetek,ejtenek,wiktionary
legyőz,legyőzök,legyőzöl,legyőz,legyőzünk,legyőztök,legyőznek,wiktionary
indít,indítok,indítasz,indít,indítunk,indítotok,indítanak,wiktionary
felébred,felébredek,felébredsz,felébred,felébredünk,felébredtek,felébrednek,wiktionary
sejt,sejtek,sejtesz,sejt,sejtünk,sejtetek,sejtenek,wiktionary
kimond,kimondok,kimondasz,kimond,kimondunk,kimondotok,kimondanak,wiktionary
gyakorol,gyakorlok,gyakorolsz,gyakorol,gyakorlunk,gyakoroltok,gyakorolnak,wiktionary
feltesz,felteszek,felteszel,feltesz,felteszünk,feltesztek,feltesznek,wiktionary
hibáztat,hibáztatok,hibáztatsz,hibáztat,hibáztatunk,hibáztattok,hibáztatnak,wiktionary
felel,felelek,felelsz,felel,felelünk,feleltek,felelnek,wiktionary
szabadul,szabadulok,szabadulsz,szabadul,szabadulunk,szabadultok,szabadulnak,wiktionary
kifizet,kifizetek,kifizetsz,kifizet,kifizetünk,kifizettek,kifizetnek,wiktionary
eldönt,eldöntök,eldöntesz,eldönt,eldöntünk,eldöntötök,eldöntenek,wiktionary
tisztel,tisztelek,tisztelsz,tisztel,tisztelünk,tiszteltek,tisztelnek,wiktionary
fedez,fedezek,fedezel,fedez,fedezünk,fedeztek,fedeznek,wiktionary
elmagyaráz,elmagyarázok,elmagyarázol,elmagyaráz,elmagyarázunk,elmagyaráztok,elmagyaráznak,wiktionary
mosolyog,mosolygok,mosolyogsz,mosolyog,mosolygunk,mosolyogtok,mosolyognak,wiktionary
tisztáz,tisztázok,tisztázol,tisztáz,tisztázunk,tisztáztok,tisztáznak,wiktionary
kiabál,kiabálok,kiabálsz,kiabál,kiabálunk,kiabáltok,kiabálnak,wiktionary
meghív,meghívok,meghívsz,meghív,meghívunk,meghívtok,meghívnak,wiktionary
megnyer,megnyerek,megnyersz,megnyer,megnyerünk,megnyertek,megnyernek,wiktionary
érdemel,érdemlek,érdemelsz,érdemel,érdemlünk,érdemeltek,érdemelnek,wiktionary
felkel,felkelek,felkelsz,felkel,felkelünk,felkeltek,felkelnek,wiktionary
lemond,lemondok,lemondasz,lemond,lemondunk,lemondotok,lemondanak,wiktionary
vizsgál,vizsgálok,vizsgálsz,vizsgál,vizsgálunk,vizsgáltok,vizsgálnak,wiktionary
tekint,tekintek,tekintesz,tekint,tekintünk,tekintetek,tekintenek,wiktionary
ünnepel,ünneplek,ünnepelsz,ünnepel,ünneplünk,ünnepeltek,ünnepelnek,wiktionary
szexel,szexelek,szexelsz,szexel,szexelünk,szexeltek,szexelnek,wiktionary
ragaszkodik,ragaszkodom,ragaszkodsz,ragaszkodik,ragaszkodunk,ragaszkodtok,ragaszkodnak,wiktionary
vádol,vádolok,vádolsz,vádol,vádolunk,vádoltok,vádolnak,wiktionary
javít,javítok,javítasz,javít,javítunk,javítotok,javítanak,wiktionary
lemegy,lemegyek,lemész,lemegy,lemegyünk,lementek,lemennek,wiktionary
átnéz,átnézek,átnézel,átnéz,átnézünk,átnéztek,átnéznek,wiktionary
üldöz,üldözök,üldözöl,üldöz,üldözünk,üldöztök,üldöznek,wiktionary
eljut,eljutok,eljutsz,eljut,eljutunk,eljuttok,eljutnak,wiktionary
felfog,felfogok,felfogsz,felfog,felfogunk,felfogtok,felfognak,wiktionary
levesz,leveszek,leveszel,levesz,leveszünk,levesztek,levesznek,wiktionary
aláír,aláírok,aláírsz,aláír,aláírunk,aláírtok,aláírnak,wiktionary
csal,csalok,csalsz,csal,csalunk,csaltok,csalnak,wiktionary
egyezik,egyezem,egyezel,egyezik,egyezünk,egyeztek,egyeznek,wiktionary
leül,leülök,leülsz,leül,leülünk,leültök,leülnek,wiktionary
cselekedik,cselekedem,cselekedsz,cselekedik,cselekedünk,cselekedtek,cselekednek,wiktionary
csókol,csókolok,csókolsz,csókol,csókolunk,csókoltok,csókolnak,wiktionary
kockáztat,kockáztatok,kockáztatsz,kockáztat,kockáztatunk,kockáztattok,kockáztatnak,wiktionary
elolvas,elolvasok,elolvasol,elolvas,elolvasunk,elolvastok,elolvasnak,wiktionary
elpusztít,elpusztítok,elpusztítasz,elpusztít,elpusztítunk,elpusztítotok,elpusztítanak,wiktionary
odaér,odaérek,odaérsz,odaér,odaérünk,odaértek,odaérnek,wiktionary
meggyőz,meggyőzök,meggyőzöl,meggyőz,meggyőzünk,meggyőztök,meggyőznek,wiktionary
elkésik,elkésem,elkésel,elkésik,elkésünk,elkéstek,elkésnek,wiktionary
cserél,cserélek,cserélsz,cserél,cserélünk,cseréltek,cserélnek,wiktionary
csap,csapok,csapsz,csap,csapunk,csaptok,csapnak,wiktionary
elfog,elfogok,elfogsz,elfog,elfogunk,elfogtok,elfognak,wiktionary
felmegy,felmegyek,felmész,felmegy,felmegyünk,felmentek,felmennek,wiktionary
alakul,alakulok,alakulsz,alakul,alakulunk,alakultok,alakulnak,wiktionary
kihasznál,kihasználok,kihasználsz,kihasznál,kihasználunk,kihasználtok,kihasználnak,wiktionary
teljesít,teljesítek,teljesítesz,teljesít,teljesítünk,teljesítetek,teljesítenek,wiktionary
megvár,megvárok,megvársz,megvár,megvárunk,megvártok,megvárnak,wiktionary
tönkretesz,tönkreteszek,tönkreteszel,tönkretesz,tönkreteszünk,tönkretesztek,tönkretesznek,wiktionary
megfog,megfogok,megfogsz,megfog,megfogunk,megfogtok,megfognak,wiktionary
töröl,törlök,törölsz,töröl,törlünk,töröltök,törölnek,wiktionary
kiszáll,kiszállok,kiszállsz,kiszáll,kiszállunk,kiszálltok,kiszállnak,wiktionary
leáll,leállok,leállsz,leáll,leállunk,leálltok,leállnak,wiktionary
ebédel,ebédelek,ebédelsz,ebédel,ebédelünk,ebédeltek,ebédelnek,wiktionary
azonosít,azonosítok,azonosítasz,azonosít,azonosítunk,azonosítotok,azonosítanak,wiktionary
lezár,lezárok,lezársz,lezár,lezárunk,lezártok,lezárnak,wiktionary
nyújt,nyújtok,nyújtasz,nyújt,nyújtunk,nyújtotok,nyújtanak,wiktionary
derít,derítek,derítesz,derít,derítünk,derítetek,derítenek,wiktionary
elalszik,elalszom,elalszol,elaluszik,elalszunk,elalszotok,elalszanak,wiktionary
kivesz,kiveszek,kiveszel,kivesz,kiveszünk,kivesztek,kivesznek,wiktionary
mos,mosok,mosol,mos,mosunk,mostok,mosnak,wiktionary
megszabadul,megszabadulok,megszabadulsz,megszabadul,megszabadulunk,megszabadultok,megszabadulnak,wiktionary
bevall,bevallok,bevallasz,bevall,bevallunk,bevallotok,bevallanak,wiktionary
hazaér,hazaérek,hazaérsz,hazaér,hazaérünk,hazaértek,hazaérnek,wiktionary
gyűjt,gyűjtök,gyűjtesz,gyűjt,gyűjtünk,gyűjtötök,gyűjtenek,wiktionary
céloz,célzok,célzol,céloz,célzunk,céloztok,céloznak,wiktionary
szégyell,szégyellek,szégyellsz,szégyell,szégyellünk,szégyelltek,szégyellnek,wiktionary
megerősít,megerősítek,megerősítesz,megerősít,megerősítünk,megerősítetek,megerősítenek,wiktionary
rohan,rohanok,rohansz,rohan,rohanunk,rohantok,rohannak,wiktionary
visszaad,visszaadok,visszaadsz,visszaad,visszaadunk,visszaadtok,visszaadnak,wiktionary
értesít,értesítek,értesítesz,értesít,értesítünk,értesítetek,értesítenek,wiktionary
közöl,közlök,közölsz,közöl,közlünk,közöltök,közölnek,wiktionary
betör,betörök,betörsz,betör,betörünk,betörtök,betörnek,wiktionary
süt,sütök,sütsz,süt,sütünk,süttök,sütnek,wiktionary
szavaz,szavazok,szavazol,szavaz,szavazunk,szavaztok,szavaznak,wiktionary
bevesz,beveszek,beveszel,bevesz,beveszünk,bevesztek,bevesznek,wiktionary
reagál,reagálok,reagálsz,reagál,reagálunk,reagáltok,reagálnak,wiktionary
meghallgat,meghallgatok,meghallgatsz,meghallgat,meghallgatunk,meghallgattok,meghallgatnak,wiktionary
kényszerít,kényszerítek,kényszerítesz,kényszerít,kényszerítünk,kényszerítetek,kényszerítenek,wiktionary
megijed,megijedek,megijedsz,megijed,megijedünk,megijedtek,megijednek,wiktionary
juttat,juttatok,juttatsz,juttat,juttatunk,juttattok,juttatnak,wiktionary
letesz,leteszek,leteszel,letesz,leteszünk,letesztek,letesznek,wiktionary
megeszik,megeszem,megeszel,megeszik,megeszünk,megesztek,megesznek,wiktionary
rabol,rabolok,rabolsz,rabol,rabolunk,raboltok,rabolnak,wiktionary
elvégez,elvégzek,elvégzel,elvégez,elvégzünk,elvégeztek,elvégeznek,wiktionary
oszt,osztok,osztasz,oszt,osztunk,osztotok,osztanak,wiktionary
ítél,ítélek,ítélsz,ítél,ítélünk,ítéltek,ítélnek,wiktionary
szállít,szállítok,szállítasz,szállít,szállítunk,szállítotok,szállítanak,wiktionary
vadászik,vadászom,vadászol,vadászik,vadászunk,vadásztok,vadásznak,wiktionary
őriz,őrzök,őrzöl,őriz,őrzünk,őriztek,őriznek,wiktionary
megjelenik,megjelenek,megjelensz,megjelenik,megjelenünk,megjelentek,megjelennek,wiktionary
nyomoz,nyomozok,nyomozol,nyomoz,nyomozunk,nyomoztok,nyomoznak,wiktionary
kipróbál,kipróbálok,kipróbálsz,kipróbál,kipróbálunk,kipróbáltok,kipróbálnak,wiktionary
elismer,elismerek,elismersz,elismer,elismerünk,elismertek,elismernek,wiktionary
érint,érintek,érintesz,érint,érintünk,érintetek,érintenek,wiktionary
kísér,kísérek,kísérsz,kísér,kísérünk,kísértek,kísérnek,wiktionary
izgul,izgulok,izgulsz,izgul,izgulunk,izgultok,izgulnak,wiktionary
tájékoztat,tájékoztatok,tájékoztatsz,tájékoztat,tájékoztatunk,tájékoztattok,tájékoztatnak,wiktionary
megvizsgál,megvizsgálok,megvizsgálsz,megvizsgál,megvizsgálunk,megvizsgáltok,megvizsgálnak,wiktionary
elkerül,elkerülök,elkerülsz,elkerül,elkerülünk,elkerültök,elkerülnek,wiktionary
megoszt,megosztok,megosztasz,megoszt,megosztunk,megosztotok,megosztanak,wiktionary
szúr,szúrok,szúrsz,szúr,szúrunk,szúrtok,szúrnak,wiktionary
jelez,jelzek,jelzel,jelez,jelzünk,jeleztek,jeleznek,wiktionary
megakadályoz,megakadályozok,megakadályozol,megakadályoz,megakadályozunk,megakadályoztok,megakadályoznak,wiktionary
szán,szánok,szánsz,szán,szánunk,szántok,szánnak,wiktionary
lélegzik,lélegzem,lélegzel,lélegzik,lélegzünk,lélegeztek,lélegeznek,wiktionary
szólít,szólítok,szólítasz,szólít,szólítunk,szólítotok,szólítanak,wiktionary
rávesz,ráveszek,ráveszel,rávesz,ráveszünk,rávesztek,rávesznek,wiktionary
felrobbant,felrobbantok,felrobbantasz,felrobbant,felrobbantunk,felrobbantotok,felrobbantanak,wiktionary
megüt,megütök,megütsz,megüt,megütünk,megüttök,megütnek,wiktionary
panaszkodik,panaszkodom,panaszkodsz,panaszkodik,panaszkodunk,panaszkodtok,panaszkodnak,wiktionary
rendelkezik,rendelkezem,rendelkezel,rendelkezik,rendelkezünk,rendelkeztek,rendelkeznek,wiktionary
kérd,kérdek,kérdesz,kérd,kérdünk,kérdetek,kérdenek,wiktionary
áld,áldok,áldasz,áld,áldunk,áldotok,áldanak,wiktionary
veszteget,vesztegetek,vesztegetsz,veszteget,vesztegetünk,vesztegettek,vesztegetnek,wiktionary
elválik,elválok,elválsz,elválik,elválunk,elváltok,elválnak,wiktionary
ráér,ráérek,ráérsz,ráér,ráérünk,ráértek,ráérnek,wiktionary
fenyeget,fenyegetek,fenyegetsz,fenyeget,fenyegetünk,fenyegettek,fenyegetnek,wiktionary
kiad,kiadok,kiadsz,kiad,kiadunk,kiadtok,kiadnak,wiktionary
kinéz,kinézek,kinézel,kinéz,kinézünk,kinéztek,kinéznek,wiktionary
elszúr,elszúrok,elszúrsz,elszúr,elszúrunk,elszúrtok,elszúrnak,wiktionary
követel,követelek,követelsz,követel,követelünk,követeltek,követelnek,wiktionary
átver,átverek,átversz,átver,átverünk,átvertek,átvernek,wiktionary
eltör,eltörök,eltörsz,eltör,eltörünk,eltörtök,eltörnek,wiktionary
takarít,takarítok,takarítasz,takarít,takarítunk,takarítotok,takarítanak,wiktionary
látogat,látogatok,látogatsz,látogat,látogatunk,látogattok,látogatnak,wiktionary
elront,elrontok,elrontasz,elront,elrontunk,elrontotok,elrontanak,wiktionary
ás,ások,ásol,ás,ásunk,ástok,ásnak,wiktionary
nevel,nevelek,nevelsz,nevel,nevelünk,neveltek,nevelnek,wiktionary
kutat,kutatok,kutatsz,kutat,kutatunk,kutattok,kutatnak,wiktionary
megbán,megbánok,megbánsz,megbán,megbánunk,megbántok,megbánnak,wiktionary
tagad,tagadok,tagadsz,tagad,tagadunk,tagadtok,tagadnak,wiktionary
bebizonyít,bebizonyítok,bebizonyítasz,bebizonyít,bebizonyítunk,bebizonyítotok,bebizonyítanak,wiktionary
megsérül,megsérülök,megsérülsz,megsérül,megsérülünk,megsérültök,megsérülnek,wiktionary
megír,megírok,megírsz,megír,megírunk,megírtok,megírnak,wiktionary
lemarad,lemaradok,lemaradsz,lemarad,lemaradunk,lemaradtok,lemaradnak,wiktionary
érdeklődik,érdeklődöm,érdeklődsz,érdeklődik,érdeklődünk,érdeklődtök,érdeklődnek,wiktionary
szervez,szervezek,szervezel,szervez,szervezünk,szerveztek,szerveznek,wiktionary
tiltakozik,tiltakozom,tiltakozol,tiltakozik,tiltakozunk,tiltakoztok,tiltakoznak,wiktionary
megfizet,megfizetek,megfizetsz,megfizet,megfizetünk,megfizettek,megfizetnek,wiktionary
feláll,felállok,felállsz,feláll,felállunk,felálltok,felállnak,wiktionary
elmenekül,elmenekülök,elmenekülsz,elmenekül,elmenekülünk,elmenekültök,elmenekülnek,wiktionary
éget,égetek,égetsz,éget,égetünk,égettek,égetnek,wiktionary
leír,leírok,leírsz,leír,leírunk,leírtok,leírnak,wiktionary
elutasít,elutasítok,elutasítasz,elutasít,elutasítunk,elutasítotok,elutasítanak,wiktionary
utánanéz,utánanézek,utánanézel,utánanéz,utánanézünk,utánanéztek,utánanéznek,wiktionary
meggyilkol,meggyilkolok,meggyilkolsz,meggyilkol,meggyilkolunk,meggyilkoltok,meggyilkolnak,wiktionary
felajánl,felajánlok,felajánlasz,felajánl,felajánlunk,felajánlotok,felajánlanak,wiktionary
rejteget,rejtegetek,rejtegetsz,rejteget,rejtegetünk,rejtegettek,rejtegetnek,wiktionary
üzen,üzenek,üzensz,üzen,üzenünk,üzentek,üzennek,wiktionary
elesik,elesem,elesel,elesik,elesünk,elestek,elesnek,wiktionary
kienged,kiengedek,kiengedsz,kienged,kiengedünk,kiengedtek,kiengednek,wiktionary
megszületik,megszületek,megszületsz,megszületik,megszületünk,megszülettek,megszületnek,wiktionary
elrejt,elrejtek,elrejtesz,elrejt,elrejtünk,elrejtetek,elrejtenek,wiktionary
beleegyezik,beleegyezem,beleegyezel,beleegyezik,beleegyezünk,beleegyeztek,beleegyeznek,wiktionary
tol,tolok,tolsz,tol,tolunk,toltok,tolnak,wiktionary
kihúz,kihúzok,kihúzol,kihúz,kihúzunk,kihúztok,kihúznak,wiktionary
alkot,alkotok,alkotsz,alkot,alkotunk,alkottok,alkotnak,wiktionary
képvisel,képviselek,képviselsz,képvisel,képviselünk,képviseltek,képviselnek,wiktionary
reménykedik,reménykedem,reménykedsz,reménykedik,reménykedünk,reménykedtek,reménykednek,wiktionary
megszeg,megszegek,megszegsz,megszeg,megszegünk,megszegtek,megszegnek,wiktionary
terjed,terjedek,terjedsz,terjed,terjedünk,terjedtek,terjednek,wiktionary
kever,keverek,keversz,kever,keverünk,kevertek,kevernek,wiktionary
vitatkozik,vitatkozom,vitatkozol,vitatkozik,vitatkozunk,vitatkoztok,vitatkoznak,wiktionary
öltözik,öltözöm,öltözöl,öltözik,öltözünk,öltöztök,öltöznek,wiktionary
felnő,felnövök,felnősz,felnő,felnövünk,felnőtök,felnőnek,wiktionary
átgondol,átgondolok,átgondolsz,átgondol,átgondolunk,átgondoltok,átgondolnak,wiktionary
beismer,beismerek,beismersz,beismer,beismerünk,beismertek,beismernek,wiktionary
tartóztat,tartóztatok,tartóztatsz,tartóztat,tartóztatunk,tartóztattok,tartóztatnak,wiktionary
felfedez,felfedezek,felfedezel,felfedez,felfedezünk,felfedeztek,felfedeznek,wiktionary
ellenáll,ellenállok,ellenállsz,ellenáll,ellenállunk,ellenálltok,ellenállnak,wiktionary
mászik,mászok,mászol,mászik,mászunk,másztok,másznak,wiktionary
hibáz,hibázok,hibázol,hibáz,hibázunk,hibáztok,hibáznak,wiktionary
összeszed,összeszedek,összeszedsz,összeszed,összeszedünk,összeszedtek,összeszednek,wiktionary
zajlik,zajlok,zajlasz,zajlik,zajlunk,zajlotok,zajlanak,wiktionary
leszáll,leszállok,leszállsz,leszáll,leszállunk,leszálltok,leszállnak,wiktionary
előfordul,előfordulok,előfordulsz,előfordul,előfordulunk,előfordultok,előfordulnak,wiktionary
boldogul,boldogulok,boldogulsz,boldogul,boldogulunk,boldogultok,boldogulnak,wiktionary
